"syst","gen_sp","site","abund","ef","study"
"PA","Castanopsis_megacarpa","VG-PSH-1",13,3078.18594738062,"TEAM"
"PA","Castanopsis_megacarpa","VG-PSH-2",2,1750.48985747458,"TEAM"
"PA","Castanopsis_megacarpa","VG-PSH-5",1,129.339167445762,"TEAM"
"PA","Castanopsis_nephelioides","VG-PSH-1",1,170.066647682982,"TEAM"
"PA","Castanopsis_nephelioides","VG-PSH-3",1,1839.29658512472,"TEAM"
"PA","Castanopsis_schefferiana","VG-PSH-1",7,800.831731280797,"TEAM"
"PA","Castanopsis_schefferiana","VG-PSH-3",1,27.2258176897255,"TEAM"
"PA","Chisocheton_macrophyllus","VG-PSH-2",1,199.698126519222,"TEAM"
"PA","Chisocheton_macrophyllus","VG-PSH-3",1,3436.15845819382,"TEAM"
"PA","Chisocheton_macrophyllus","VG-PSH-6",1,421.906274559068,"TEAM"
"PA","Chisocheton_patens","VG-PSH-2",1,60.9664022436414,"TEAM"
"PA","Chisocheton_patens","VG-PSH-4",1,36.2671960485398,"TEAM"
"PA","Chisocheton_tomentosus","VG-PSH-1",1,36.9900964569638,"TEAM"
"PA","Chisocheton_tomentosus","VG-PSH-3",1,106.003283670761,"TEAM"
"PA","Cinnamomum_javanicum","VG-PSH-2",1,114.892476937472,"TEAM"
"PA","Cinnamomum_porrectum","VG-PSH-5",1,248.618808170794,"TEAM"
"PA","Cinnamomum_sintoc","VG-PSH-4",1,54.6861838513586,"TEAM"
"PA","Cleistanthus_myrianthus","VG-PSH-5",1,38.2547530767766,"TEAM"
"PA","Commersonia_bartramia","VG-PSH-6",3,120.594929548727,"TEAM"
"PA","Cratoxylum_arborescens","VG-PSH-6",3,169.127213524701,"TEAM"
"PA","Cratoxylum_cochinchinense","VG-PSH-3",2,660.330798555825,"TEAM"
"PA","Cratoxylum_cochinchinense","VG-PSH-4",4,2463.16598890468,"TEAM"
"PA","Cratoxylum_cochinchinense","VG-PSH-5",1,77.2999904384436,"TEAM"
"PA","Cratoxylum_cochinchinense","VG-PSH-6",2,242.035800560744,"TEAM"
"PA","Cratoxylum_formosum","VG-PSH-4",1,35.8430078123833,"TEAM"
"PA","Cratoxylum_formosum","VG-PSH-6",3,797.604512641929,"TEAM"
"PA","Croton_argyratus","VG-PSH-1",2,69.5298775526621,"TEAM"
"PA","Croton_argyratus","VG-PSH-2",1,100.939169482566,"TEAM"
"PA","Croton_argyratus","VG-PSH-3",26,5490.23545231506,"TEAM"
"PA","Croton_argyratus","VG-PSH-6",7,819.335578775684,"TEAM"
"PA","Croton_erythrostachys","VG-PSH-6",1,73.5996592021447,"TEAM"
"PA","Croton_laevifolius","VG-PSH-2",7,1479.54921919372,"TEAM"
"PA","Croton_laevigatus","VG-PSH-4",1,17.1930425058512,"TEAM"
"PA","Cryptocarya_ferrea","VG-PSH-6",3,309.254044105256,"TEAM"
"PA","Cryptocarya_griffithiana","VG-PSH-2",1,157.530225150122,"TEAM"
"PA","Cryptocarya_griffithiana","VG-PSH-5",1,121.187304082013,"TEAM"
"PA","Cryptocarya_infectoria","VG-PSH-3",3,2865.47872152289,"TEAM"
"PA","Cryptocarya_infectoria","VG-PSH-4",1,19.3108419397849,"TEAM"
"PA","Cryptocarya_kurzii","VG-PSH-4",1,26.714665979552,"TEAM"
"PA","Cryptocarya_rugulosa","VG-PSH-1",2,113.313244848235,"TEAM"
"PA","Cryptocarya_rugulosa","VG-PSH-5",1,4583.30709835935,"TEAM"
"PA","Ctenolophon_parvifolius","VG-PSH-1",1,96.9107544281307,"TEAM"
"PA","Ctenolophon_parvifolius","VG-PSH-4",1,1752.67687979495,"TEAM"
"PA","Ctenolophon_parvifolius","VG-PSH-5",1,104.924658569279,"TEAM"
"PA","Cynometra_malaccensis","VG-PSH-1",6,4165.24937643363,"TEAM"
"PA","Cynometra_malaccensis","VG-PSH-2",2,1831.44312986333,"TEAM"
"PA","Cynometra_malaccensis","VG-PSH-3",5,20178.9193337827,"TEAM"
"PA","Cynometra_malaccensis","VG-PSH-6",1,140.924082405346,"TEAM"
"PA","Dacryodes_costata","VG-PSH-1",2,110.546881826474,"TEAM"
"PA","Dacryodes_costata","VG-PSH-4",2,199.328617337911,"TEAM"
"PA","Dacryodes_costata","VG-PSH-5",11,2931.36690448404,"TEAM"
"PA","Dacryodes_incurvata","VG-PSH-1",2,715.565646922775,"TEAM"
"PA","Dacryodes_incurvata","VG-PSH-2",4,146.799898159018,"TEAM"
"PA","Dacryodes_incurvata","VG-PSH-4",3,842.717126633395,"TEAM"
"PA","Dacryodes_incurvata","VG-PSH-5",5,637.280872745741,"TEAM"
"PA","Dacryodes_kingii","VG-PSH-1",1,85.5248910879883,"TEAM"
"PA","Dacryodes_laxa","VG-PSH-1",5,192.323332234271,"TEAM"
"PA","Dacryodes_laxa","VG-PSH-4",1,239.295035605953,"TEAM"
"PA","Dacryodes_macrocarpa","VG-PSH-1",3,88.5935550396622,"TEAM"
"PA","Dacryodes_puberula","VG-PSH-1",1,93.3940256559103,"TEAM"
"PA","Dacryodes_rostrata","VG-PSH-1",1,24.2241283828543,"TEAM"
"PA","Dacryodes_rostrata","VG-PSH-2",1,490.350121342566,"TEAM"
"PA","Dacryodes_rostrata","VG-PSH-3",2,133.784227311845,"TEAM"
"PA","Dacryodes_rostrata","VG-PSH-6",1,45.093802869768,"TEAM"
"PA","Dacryodes_rubiginosa","VG-PSH-4",1,21.4088588580131,"TEAM"
"PA","Dacryodes_rugosa","VG-PSH-1",3,276.749229638098,"TEAM"
"PA","Dacryodes_rugosa","VG-PSH-2",1,708.998927567013,"TEAM"
"PA","Dacryodes_rugosa","VG-PSH-4",2,1339.22663507528,"TEAM"
"PA","Dacryodes_rugosa","VG-PSH-5",1,37.7524877030913,"TEAM"
"PA","Dacryodes_unknown","VG-PSH-1",1,55.1884255031967,"TEAM"
"PA","Dehaasia_longipedicellata","VG-PSH-4",4,851.841129217628,"TEAM"
"PA","Dehaasia_longipedicellata","VG-PSH-6",1,56.4096638622671,"TEAM"
"PA","Dendrocnide_stimulans","VG-PSH-2",1,10.7270576063338,"TEAM"
"PA","Dendrocnide_stimulans","VG-PSH-3",52,4422.38488978355,"TEAM"
"PA","Dialium_maingayi","VG-PSH-4",1,1712.81880952166,"TEAM"
"PA","Dialium_platysepalum","VG-PSH-1",2,128.715322150761,"TEAM"
"PA","Dialium_platysepalum","VG-PSH-2",2,1018.64812344134,"TEAM"
"PA","Dialium_platysepalum","VG-PSH-4",1,689.848950278674,"TEAM"
"PA","Dialium_platysepalum","VG-PSH-5",1,2109.6545109966,"TEAM"
"PA","Dialium_platysepalum","VG-PSH-6",1,200.881154744303,"TEAM"
"PA","Dillenia_reticulata","VG-PSH-2",1,419.068234003124,"TEAM"
"PA","Dillenia_reticulata","VG-PSH-4",1,145.89608003174,"TEAM"
"PA","Dillenia_reticulata","VG-PSH-6",1,77.2353434576463,"TEAM"
"PA","Dillenia_sumatrana","VG-PSH-1",2,73.5018309145475,"TEAM"
"PA","Dillenia_sumatrana","VG-PSH-5",1,34.6756503597387,"TEAM"
"PA","Diospyros_adenophora","VG-PSH-3",6,278.567139285824,"TEAM"
"PA","Diospyros_andamanica","VG-PSH-2",2,4463.60919109152,"TEAM"
"PA","Diospyros_andamanica","VG-PSH-3",4,418.716037564098,"TEAM"
"PA","Diospyros_apiculata","VG-PSH-1",1,29.2641815068446,"TEAM"
"PA","Diospyros_areolata","VG-PSH-1",1,47.6874654441156,"TEAM"
"PA","Diospyros_areolata","VG-PSH-4",1,87.9233543128935,"TEAM"
"PA","Diospyros_buxifolia","VG-PSH-1",2,122.928168425804,"TEAM"
"PA","Diospyros_buxifolia","VG-PSH-2",2,598.526368347551,"TEAM"
"PA","Diospyros_cauliflora","VG-PSH-3",12,2077.29331288438,"TEAM"
"PA","Diospyros_crassipes","VG-PSH-2",2,509.456277291317,"TEAM"
"PA","Diospyros_gigantea","VG-PSH-4",1,26.4981647902048,"TEAM"
"PA","Diospyros_haseltii var brachiata","VG-PSH-3",4,813.677886318981,"TEAM"
"PA","Diospyros_ismailii","VG-PSH-5",3,819.125421533982,"TEAM"
"PA","Diospyros_lancifolia","VG-PSH-4",1,82.39379965627,"TEAM"
"PA","Diospyros_latisepala","VG-PSH-4",5,4185.46325482875,"TEAM"
"PA","Diospyros_maingayi","VG-PSH-5",1,83.7555347577043,"TEAM"
"PA","Diospyros_rufa","VG-PSH-4",1,92.2160688226977,"TEAM"
"PA","Diospyros_rufa","VG-PSH-5",1,31.4525050225244,"TEAM"
