"","Family","Genus","Species","Diameter","POM.Height","Sampling.Period","X1ha.Plot.X.Coordinate","X1ha.Plot.Y.Coordinate","X1ha.Plot.Number","Gen_sp","Year","density","biomass","carbon"
"769","Moraceae","Brosimum","guianense",18.9,1.3,2010.01,37.5,26.1,"VG-BCI-3","Brosimum_guianense","2010",0.670818181818182,242.207805947653,121.103902973826
"770","Arecaceae","Oenocarpus","mapora",10.6,1.3,2010.01,36,24.9,"VG-BCI-3","Oenocarpus_mapora","2010",0.6815,53.1247225042341,26.5623612521171
"771","Arecaceae","Oenocarpus","mapora",10.4,1.3,2010.01,36,24.9,"VG-BCI-3","Oenocarpus_mapora","2010",0.6815,50.5044937812826,25.2522468906413
"772","Arecaceae","Socratea","exorrhiza",10.9,3,2010.01,91.4,49.4,"VG-BCI-3","Socratea_exorrhiza","2010",0.23,19.3084701864239,9.65423509321194
"773","Arecaceae","Socratea","exorrhiza",11.8,3,2010.01,91.5,48.8,"VG-BCI-3","Socratea_exorrhiza","2010",0.23,23.8379057918529,11.9189528959264
"774","Apocynaceae","Aspidosperma","spruceanum",24.5,1.3,2010.01,92,47.8,"VG-BCI-3","Aspidosperma_spruceanum","2010",0.747794520547945,533.473531028619,266.736765514309
"775","Araliaceae","Dendropanax","arboreus",22.8,1.3,2010.01,97.8,40.6,"VG-BCI-3","Dendropanax_arboreus","2010",0.419833333333333,248.17962042618,124.08981021309
"776","Myristicaceae","Virola","multiflora",15.8,1.3,2010.01,93,40.6,"VG-BCI-3","Virola_multiflora","2010",0.473015873015873,106.37096001438,53.1854800071902
"777","Apocynaceae","Aspidosperma","spruceanum",26.7,1.3,2010.01,87.5,61,"VG-BCI-3","Aspidosperma_spruceanum","2010",0.747794520547945,667.367304481125,333.683652240563
"779","Urticaceae","Pourouma","bicolor",43,1.3,2010.01,85.2,62,"VG-BCI-3","Pourouma_bicolor","2010",0.38625,1166.76008014554,583.380040072768
"780","Burseraceae","Protium","panamense",11.5,1.3,2010.01,83.5,60.9,"VG-BCI-3","Protium_panamense","2010",0.575724137931034,55.7245207763143,27.8622603881571
"781","Moraceae","Perebea","xanthochyma",15,1.3,2010.01,80.3,62.9,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,95.5928482346984,47.7964241173492
"782","Moraceae","Perebea","xanthochyma",11.7,1.3,2010.01,85.4,67.7,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,49.4303536257744,24.7151768128872
"783","Simaroubaceae","Quassia","amara",11.6,1.3,2010.01,89.4,71.9,"VG-BCI-3","Quassia_amara","2010",0.351833333333333,34.8463193960522,17.4231596980261
"784","Rubiaceae","Psychotria","calophylla",10.8,1.3,2010.01,84.7,72.1,"VG-BCI-3","Psychotria_calophylla","2010",0.5636,46.1700434289795,23.0850217144898
"785","Bignoniaceae","Tabebuia","guayacan",31,1.3,2010.01,82.3,73.1,"VG-BCI-3","Tabebuia_guayacan","2010",0.7562625,993.209765652139,496.60488282607
"786","Fabaceae","Andira","inermis",14.6,1.3,2010.01,80.5,76.5,"VG-BCI-3","Andira_inermis","2010",0.719925925925926,131.316020307466,65.658010153733
"787","Moraceae","Perebea","xanthochyma",16.1,1.3,2010.01,85.8,78.1,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,115.30540122076,57.6527006103801
"788","Chrysobalanaceae","Licania","hypoleuca",14.8,1.3,2010.01,88.6,78.6,"VG-BCI-3","Licania_hypoleuca","2010",0.811142857142857,153.389634554771,76.6948172773853
