"","BUC","CAN","EVE","OLD","FOS","MOU","AMW","BAR","HIL","HOL","HOM","JUN","LAV","LAW","PRK","QUA","ROO","ROY","US2","VAN","ZIO","CEM","WES","CAR"
"Lasioglossum_cattellae",0,0,0,0,0,0,0,0,0,0,0.0239853896103896,0,0.0209872159090909,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_coeruleum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167897727272727,0,0,0,0,0,0
"Lasioglossum_coriaceum",0,0,0,0,0,0.0335795454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167897727272727,0,0,0
"Lasioglossum_cressonii",0,0.0167897727272727,0,0,0,0,0,0,0,0,0,0.0209872159090909,0,0,0,0,0,0,0,0,0,0.0167897727272727,0,0
"Lasioglossum_ephialtum",0,0,0,0,0.0373106060606061,0,0,0,0,0,0,0,0.0209872159090909,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_foxii",0,0,0,0,0,0,0,0,0,0.0279829545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_gotham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419744318181818,0,0,0,0,0,0,0,0
"Lasioglossum_hitchensi",0,0.0335795454545455,0,0,0.0746212121212121,0.134318181818182,0.0335795454545455,0.0335795454545455,0,0.0559659090909091,0,0,0,0,0,0.0209872159090909,0.0419744318181818,0,0,0.104936079545455,0.0335795454545455,0,0.0559659090909091,0
"Lasioglossum_illinoense",0,0,0,0,0.0373106060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_imitatum",0,0,0.209872159090909,0,0.0559659090909091,0.0335795454545455,0,0.235056818181818,0,0.0559659090909091,0.239853896103896,0.377769886363636,0.0209872159090909,0.0167897727272727,0,0.230859375,0.0209872159090909,0.0167897727272727,0.104936079545455,0.0629616477272727,0.151107954545455,0.755539772727273,0.111931818181818,0
"Lasioglossum_nymphaearum",0,0.0839488636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_obscurum",0,0,0.0209872159090909,0,0.018655303030303,0,0,0,0,0,0,0.0209872159090909,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_paradmirandum",0,0,0,0,0,0,0,0.0335795454545455,0,0,0.0239853896103896,0.125923295454545,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_pilosum",0,0.0167897727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167897727272727,0,0
"Lasioglossum_platyparium",0,0,0,0.0209872159090909,0.018655303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_smilacinae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209872159090909,0,0,0,0,0,0,0,0,0
"Lasioglossum_subviridatum",0,0,0,0.0209872159090909,0,0.0167897727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_tegulare",0,0,0,0,0.018655303030303,0,0,0,0,0,0,0,0,0.0167897727272727,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_trigeminum",0,0,0,0,0,0,0.0167897727272727,0,0,0,0,0,0,0,0,0,0.0209872159090909,0,0,0,0,0,0,0
"Lasioglossum_truncatum",0,0,0,0,0.018655303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_versatum",0.0503693181818182,0.0335795454545455,0,0.0629616477272727,0,0.0503693181818182,0.167897727272727,0.0671590909090909,0.0279829545454545,0.0279829545454545,0,0.0419744318181818,0.0419744318181818,0.0167897727272727,0,0.0209872159090909,0.0419744318181818,0,0,0.0209872159090909,0.0839488636363636,0,0,0
"Lasioglossum_viridatum",0,0,0,0,0,0,0,0,0,0,0,0.0209872159090909,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_weemsi",0,0.0167897727272727,0.0209872159090909,0,0.0559659090909091,0,0,0.0167897727272727,0.0279829545454545,0,0,0.0419744318181818,0,0,0,0,0,0,0,0,0,0,0,0
"Lithurgus_chrysurus",0,0,0,0,0,0,0,0,0,0,0,0.0173295454545455,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile_brevis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173295454545455,0,0,0,0,0,0,0
"Megachile_campanulae",0,0,0,0,0.0154040404040404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile_exilis",0,0,0,0,0,0,0,0,0,0,0.0198051948051948,0,0,0,0,0,0,0,0,0,0,0.0138636363636364,0,0
"Megachile_georgica",0,0,0,0,0,0.0138636363636364,0,0.0138636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile_mendica",0,0,0,0,0.0154040404040404,0.0138636363636364,0.0554545454545455,0,0,0,0,0.0346590909090909,0,0,0,0,0,0,0,0,0.0277272727272727,0.0138636363636364,0,0
"Megachile_montivaga",0,0,0,0,0,0.0415909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile_rotundata",0,0,0,0,0.0154040404040404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile_sculpturalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138636363636364,0,0,0,0,0,0,0.0138636363636364,0,0,0
"Melissodes_bimaculatus",0,0,0.0423828125,0,0,0,0,0,0,0,0.0484375,0,0.0423828125,0,0,0.0423828125,0,0,0,0,0,0,0,0
"Melissodes_denticulatus",0.03390625,0.03390625,0,0.0423828125,0,0,0.10171875,0,0,0,0.0484375,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melissodes_desponsus",0,0.03390625,0,0.0423828125,0,0,0,0,0,0,0.0484375,0.084765625,0.0423828125,0,0,0.1271484375,0,0,0.0423828125,0,0.03390625,0,0,0
"Osmia_atriventris",0,0,0,0,0,0.0138636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osmia_pumila",0.0138636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peponapis_pruinosa",0.0138636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173295454545455,0,0,0,0,0,0,0,0
"Ptilothrix_bombiformis",0,0,0,0,0,0.0146511627906977,0,0,0.0244186046511628,0,0,0.0183139534883721,0,0,0.0732558139534884,0,0.0183139534883721,0,0,0,0,0,0,0
"Sphecodes_heraclei",0,0,0,0,0,0,0,0,0,0,0,0,0.0173295454545455,0,0,0,0,0,0,0,0,0,0,0
"Stelis_louisae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173295454545455,0,0,0,0
"Xylocopa_virginica",0.0656818181818182,0.0218939393939394,0.0136837121212121,0.0821022727272727,0.0608164983164983,0.0218939393939394,0.0437878787878788,0.0328409090909091,0,0,0.0781926406926407,0.383143939393939,0.0547348484848485,0.0875757575757576,0,0.0821022727272727,0.0136837121212121,0.317462121212121,0.0136837121212121,0,0.0218939393939394,0.0218939393939394,0.145959595959596,0.036489898989899
