"","CAN","CEM","FOS","LAV","LAW","OLD","QUA","ROO","ROY","WES","ZIO","HIL","HOL","JUN","MOU","AMW","BAR","BUC","EVE","PRK","US2","CAR","HOM","VAN"
"Bombus_impatiens",0,0,0.023558352402746,0,0.023558352402746,0.023558352402746,0,0.141350114416476,0.094233409610984,0,0.0196319603356217,0,0,0.11779176201373,0,0,0,0,0,0,0.023558352402746,0,0.023558352402746,0
"Bombus_perplexus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023558352402746,0,0,0,0,0,0
"Ceratina_calcarata",0.124917127071823,0.0723204419889503,0.105193370165746,0.249834254143646,0.190662983425414,0.131491712707182,0.262983425414365,0.0657458563535911,0.216961325966851,0.0394475138121547,0.0547882136279926,0.0219152854511971,0.124917127071823,0.164364640883978,0.0920441988950276,0.186279926335175,0.0525966850828729,0.0525966850828729,0.0986187845303867,0.348453038674033,0.216961325966851,0.0109576427255985,0.131491712707182,0.59828729281768
"Ceratina_dupla",0,0.0723204419889503,0.0394475138121547,0.0920441988950276,0.131491712707182,0.0854696132596685,0.0920441988950276,0.0197237569060773,0.0131491712707182,0.0328729281767956,0.0438305709023941,0.0821823204419889,0.059171270718232,0.157790055248619,0,0.109576427255985,0.0262983425414365,0.177513812154696,0.0131491712707182,0.0460220994475138,0.0525966850828729,0.0657458563535912,0.059171270718232,0.138066298342541
"Ceratina_mikmaqi",0,0.0525966850828729,0,0.0328729281767956,0.00657458563535912,0.0131491712707182,0.0262983425414365,0,0.0262983425414365,0.00657458563535912,0.0109576427255985,0.00547882136279926,0.0328729281767956,0.0460220994475138,0,0.00547882136279926,0.0131491712707182,0.0920441988950276,0,0.00657458563535912,0.138066298342541,0.0273941068139963,0,0.0328729281767956
"Ceratina_strenua",0.0262983425414365,0.289281767955801,0.190662983425414,0.236685082872928,0.51939226519337,0.203812154696133,0.473370165745856,0.0131491712707182,0.256408839779006,0.276132596685083,0.0328729281767956,0.96427255985267,0.0394475138121547,0.328729281767956,0,0.0876611418047882,0.0262983425414365,0.282707182320442,0.111767955801105,0.118342541436464,0.243259668508287,0,0.124917127071823,0.394475138121547
"Ceratina_strenua_seeTN",0,0,0,0,0,0,0.00657458563535912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coelioxys_porterae",0,0,0,0,0,0,0,0,0,0,0.00662972085385878,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus_confusus",0.00707792207792208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus_ligatus",0,0.0849350649350649,0,0,0.00707792207792208,0,0,0,0,0,0,0,0,0,0,0,0,0.00707792207792208,0,0,0,0,0,0
"Halictus_rubicundus",0,0,0,0,0,0,0.00707792207792208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heriades_carinata",0.00795566502463054,0.00795566502463054,0.0159113300492611,0.0159113300492611,0.00795566502463054,0,0.0318226600985222,0.00795566502463054,0.0318226600985222,0,0,0,0,0,0,0,0.00795566502463054,0,0.0238669950738916,0,0,0,0,0.00795566502463054
"Heriades_leavitti",0,0,0,0,0,0,0.00795566502463054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
